Project,Cluster,Correlation,P-Value
GitLab_spearman-estimate.csv,Cluster negativo,-0.727272727272727,0.0150173742825602
Firefox_spearman-estimate.csv,Cluster negativo,-0.943054838486885,1.35262705192576e-05
